No,事業者・サービス名,種別,国・地域,X アカウント,業種,代表的な投稿スタイル・内容,戦術・キャンペーン,X上の反響(インプ/エンゲージメント),売上・ビジネスへの影響,データ種別,出典・参考
1,Nomad List / RemoteOK / Photo AI (Pieter Levels),Solopreneur,オランダ,@levelsio,SaaS / メディア,"収益スクショ・MRRグラフ・コード画面・Stripe通知をそのまま投稿する『Build in Public』の代表格。GPUバーン金額や開発過程をリアルタイム公開","Build in Public + 収益スクショ・1日で作ったプロダクトのローンチ告知","フォロワー約60万。1ローンチで100万〜数百万インプ規模","Photo AI 単体で公表ベースMRR約$150k(年商換算 約$1.8M)。本人・1人運営","公開(本人ツイート)+推定(年商)","levels.io / @levelsio 過去ローンチツイート"
2,ShipFast (Marc Lou),Solopreneur,フランス→海外,@marc_louvion,SaaS(Next.jsボイラープレート),"『○ヶ月で$XXk達成』式のリベニュースクショ + 失敗譚・学びを短文で連投","収益オープン化+学習ログ。Stripeダッシュボードを毎週投稿","フォロワー約15万。バズ投稿1本で50万〜数百万インプ","ShipFast累計売上 $1M超(本人公表)。1人運営","公開(本人ツイート)","@marc_louvion ピン留めツイート"
3,Justin Welsh (The Operating System),Solopreneur,アメリカ,@thejustinwelsh,オンライン教育(コース・ニュースレター),"フレームワーク図解・1ツイート=1ノウハウ。リスト形式のスレッドで保存数を稼ぐ","『LinkedIn Operating System』『Content OS』など$150〜$250コース連動投稿","フォロワー約60万。教育系投稿で平均10万〜50万インプ","ソロ事業で累計$10M超のコース売上を公表","公開(本人発表)","@thejustinwelsh 公開インタビュー"
4,TypingMind / DevUtils (Tony Dinh),Solopreneur,ベトナム,@tdinh_me,SaaS(AIフロントエンド),"『今月のMRR / DAUグラフ』を毎月公開。ローンチ時はデモ動画+価格表を1枚画像で","Build in Public + ProductHunt連動投稿","フォロワー約12万。ローンチ投稿で30万〜100万インプ","TypingMindのMRR $50k超を公表(年商換算 約$600k〜)","公開(本人ツイート)","@tdinh_me 月次レポートツイート"
5,Testimonial.to / PDF.ai (Damon Chen),Solopreneur,アメリカ,@damengchen,SaaS,"『$0→$50k MRR』式のグラフ画像・チャネル別売上分解スレッド","Build in Public・複数プロダクトのMRR比較","フォロワー約8万。MRRスクショで10万〜50万インプ","Testimonial.to MRR $80k+ / PDF.ai $40k+(本人公表)","公開(本人ツイート)","@damengchen 月次まとめ"
6,Small Bets (Daniel Vassallo),Solopreneur,アメリカ,@dvassallo,コミュニティ・コース,"『1つに賭けるな・小さく沢山』論をスレッドで連投。元Amazonの実体験を投稿","Twitter発のコミュニティ販売($300前後)","フォロワー約16万。代表スレッドで100万インプ超","Small Bets コミュニティで累計$3M+を公表","公開(本人発表)","@dvassallo 過去スレッド"
7,Visualize Value (Jack Butcher),Solopreneur,アメリカ,@jackbutcher,デザイン教育・NFT,"白黒のミニマル図解1枚で名言・概念を表現する『Visualize Value』スタイル","ビジュアル引用ツイート + コース・テンプレ販売","フォロワー約60万。図解1枚で平均20万〜100万インプ","1人会社で年商$1.7M(2021年公表)+その後NFT/コース展開","公開(本人発表)","@jackbutcher 過去インタビュー"
8,The Curiosity Chronicle (Sahil Bloom),Solopreneur,アメリカ,@SahilBloom,ニュースレター,"『5 lessons I learned…』式のリスト型スレッド・引用画像","スレッド末にニュースレター登録CTA","フォロワー約100万。スレッドで50万〜200万インプ","ニュースレター80万人+書籍『The 5 Types of Wealth』NYTベストセラー入り","公開(本人発表)","@SahilBloom プロフィール"
9,Ship 30 for 30 (Dickie Bush / Nicolas Cole),Solopreneur,アメリカ,@dickiebush,オンラインコース,"『30日連続Atomic Essay』を自ら実践し成果を投稿。生徒の作例をRT","Cohortコース($300前後)への流入導線","フォロワー約30万。Atomic Essayで5万〜30万インプ","Ship 30 for 30 累計売上$5M+(本人公表)","公開(本人発表)","@dickiebush 公開インタビュー"
10,Contrarian Thinking (Codie Sanchez),Solopreneur→中小,アメリカ,@Codie_Sanchez,投資・スモールビジネス教育,"『退屈な事業を買え』というポジショニングでM&A事例を画像付きで投稿","ニュースレター・コース・ファンド導線","フォロワー約90万。代表投稿で50万〜数百万インプ","Contrarian Thinking 年商$20M+(本人公表)","公開(本人発表)","@Codie_Sanchez 公開インタビュー"
