No,サービス名,国・地域,カテゴリ,事業内容,推定年商(USD),料金例,公開情報の出典/メモ
1,RentAFriend.com,アメリカ,友達代行,プラトニックな「友達」をオンラインで予約できるマッチング。会員(借りる側)は月額$24.95または年額$69.95。フレンド側は時給を自分で設定し報酬は100%受け取る。会員62万人以上,$1M未満(推定),時給$10〜$50/h,Owler推定。創業2009年。10名未満
2,Bridesmaid for Hire,アメリカ,結婚式ブライズメイド代行,プロのブライズメイドを花嫁に派遣。当日のサポートに加え事前のスピーチ作成・バチェロレッテ計画・心理的サポートまで提供。創業者Jen Glantzが書籍・講座・チームに事業拡大,$200K〜$500K(推定/6桁),"パッケージ$2,500〜・時給$200/h",CNBC・Acorns等で「6桁年収を週2日で達成」と本人公言。創業2014年
3,Same Ole Line Dudes (SOLD),アメリカ(NYC),行列代行,レストラン・iPhone発売・Supreme・サンプルセール・パスポート窓口など何でも並ぶ。20〜30名のスタッフを擁する,$300K〜$1M(推定),基本$50+追加1h毎$25,"Gothamist報道。iPhone 7発売時1日$14,000の事例あり"
4,Cuddlist,アメリカ・カナダ・英国,プロハグ(添い寝)代行,プラトニックな「ハグ・添い寝」セラピー。トラウマケア・孤独解消用途。200名以上の認定セラピストとマッチング。コミッション15-40%,$1M〜$5M(推定),時給$80〜$160,2015年創業。Cuddletherapyjobs.comより時給帯
5,The Snuggle Buddies,アメリカ,プロハグ代行,Cuddlist競合の老舗。出張型(ホテル・自宅)で添い寝・抱擁を提供。創業2013年,$500K〜$2M(推定),1h $80・90分$120,NY Post等メディア露出多数
6,DoodyCalls,アメリカ,犬のフン拾い代行,週次/隔週訪問で庭の犬のフンを除去・処分。マンション共用部の対応も。Authority Brands傘下,$30M超(全店推定),月$15〜/週・初回$50〜,"135店舗・年間1,000万件回収。FDD公開"
7,Pooper Scooper業界(Scoop Soldiers等),アメリカ,犬のフン拾い代行,個人事業から地域チェーンまで多数存在。サブスク型で利益率高い,業界全体$2.1B(2024),月$15〜$25/週,VerifiedMarketResearch・IBISWorld
8,Hangover Helpers,アメリカ(コロラド州ボルダー),パーティー後片付け代行,飲み会翌朝に片付け+朝食ブリトー+ゲータレードを届ける。学生街発祥,$50K〜$150K(個人事業推定),ルームメイト1人$15,TIME・CU Boulder報道(2010年〜)
9,Christmas Decor,アメリカ,クリスマスイルミ設置代行,家・店舗のクリスマス電飾を設置・撤去・保管まで代行。フランチャイズで48州300拠点近くに展開,$50M〜(チェーン全体推定),平均年商$226K/店,VettedBiz・1851Franchise(中央売上$204K-226K)
10,Mosquito Joe,アメリカ,蚊・害虫駆除代行,庭・屋外イベント前の蚊やダニのスポット駆除。サブスクで定期散布。Neighborly傘下,$120M〜$160M(全店推定),平均年商$381K/店,FDD2024。417拠点。1851Franchise
11,Lugg,アメリカ,引越し・家具運搬代行,アプリで30分以内に2人組+トラックを呼べる「Uber for moving」。IKEA・West Elm等とも提携,$17.6M(2024),最低$36+1h毎課金,Latkaデータ(2024年6月)
12,Soothe,米・英・豪・加,出張マッサージ代行,自宅・ホテル・オフィスにセラピストを派遣。フェイシャル・ヘア等にも拡大,$30M〜$60M(推定),60分$99〜・90分$139〜,2016年に月商$1.2M報道。$35Mファンド調達済
13,Papa,アメリカ,シニア話し相手・買物代行,「孫世代Papa Pal」を高齢者宅へ派遣し会話・運転・買物。Medicare/MA保険給付対象,$100M〜$200M(推定),保険給付なら自己負担$0,SoftBank出資。2024年累計260万件超。バリュエーション$1.4B
14,Wakie,グローバル(米欧アジア),モーニングコール代行,登録ユーザー同士で見知らぬ人からモーニングコールが来るアプリ。月数百万通話,$5M〜$25M(推定),広告・課金,Owler推定。160万ユーザー
15,Rover,米・加・欧,犬の散歩・ペットシッター代行,世界最大の犬散歩・ペットシッターマッチング。2024年Blackstoneが$2.3Bで非公開化,$230M(2024年通期推定),散歩30分$15〜・宿泊$30〜,SECファイリング(Q3:$66.2M)・GeekWire
16,TaskRabbit,米・欧・加,雑用・組立て代行,IKEA(2017買収)直営の家具組立・引越補助・行列代行など何でも代行。2024年160万件タスク,$70M〜$75M(推定),時給$25〜$80(タスカー設定),Marketingscoop推定
17,Sorry It's Over,オーストラリア,別れ話代行,本人に代わって別れを告げる。電話/手紙/対面/花束付きまで多彩,$50K〜$150K(推定),$5.5〜$90,Today.com・Trendhunter報道
18,The Breakup Shop,カナダ,別れ話代行,カップルがオンライン申込→相手に別れSMSや手紙を送付,非公開(個人事業規模),テキスト£6.50〜・手紙£20〜,Today.com特集
19,Bark.com,英国(米加南ア愛展開),サービス全般代行プラットフォーム,"清掃・パーティ・引越等1,000カテゴリの個人事業者を顧客とマッチング。「英国のTaskRabbit」",£70M(約$90M),リード課金,Wikipedia・前CEO発言(£70M売上・£15M利益)
20,Bin Blasters / G.I. Bins,アメリカ,ゴミ箱清掃代行,移動式高圧洗浄車で家庭・店舗のゴミ箱を月1で洗うサブスク。北米市場CAGR11.3%,業界全体$700M〜(2024),月$15〜$30/缶,VerifiedMarketReports・Valuates。2031年$1.2B予測
